,find_condominio,find_iptu,find_m_quadrado,is_academia,is_apertamento,is_churrasqueira,is_elevador,is_mobiliado,is_piscina,is_portaria,is_salao_festa,is_varanda,n_banheiros,n_garagens,n_quartos,expensive,Bairro
55754,0.0,0.0,48.0,1,1,1,1,0,1,1,1,0,1,1,2,0,Madalena
42160,620.0,140.0,82.0,0,1,0,1,0,0,1,1,1,2,1,3,0,Iputinga
41898,521.0,205.0,71.0,1,1,1,1,0,1,1,1,0,1,2,2,1,Boa Viagem
22138,0.0,0.0,59.0,1,1,0,1,0,1,1,0,0,1,1,2,0,Encruzilhada
26306,0.0,0.0,140.0,0,1,0,1,0,1,1,1,0,3,2,3,1,Boa Viagem
1151,800.0,353.0,90.0,1,1,0,1,0,1,0,0,1,2,2,3,1,Madalena
62520,1.0,1.0,32.0,1,1,0,1,0,1,1,1,0,2,1,2,1,Recife
23401,500.0,210.0,70.0,1,1,0,0,1,1,0,1,1,1,1,3,1,Encruzilhada
60760,1.0,1.0,59.0,1,1,1,1,1,1,1,1,1,2,2,3,1,Madalena
63212,1.0,2.0,53.0,1,1,1,1,0,1,1,1,0,1,1,2,0,Imbiribeira
29530,800.0,290.0,90.0,0,1,0,0,0,0,0,0,0,2,2,3,1,Boa Viagem
52230,425.0,115.0,66.0,1,1,1,1,0,1,1,0,0,1,1,2,1,Madalena
9277,1400.0,457.0,150.0,0,1,0,1,0,0,1,1,0,1,2,4,1,Boa Viagem
74966,0.0,0.0,52.0,0,1,1,1,0,1,1,1,0,2,1,2,1,Boa Viagem
27404,1.0,1.0,67.0,0,1,0,1,0,1,0,0,0,2,1,3,1,Tamarineira
51549,908.0,307.0,99.0,0,1,1,1,0,1,1,1,0,3,2,3,1,Boa Viagem
34523,200.0,500.0,46.0,1,1,1,1,0,1,0,0,0,1,1,2,0,Imbiribeira
13280,1.0,1.0,150.0,0,1,0,1,0,0,1,1,0,2,2,4,1,Boa Viagem
22869,1.0,1.0,36.0,1,1,1,1,0,1,1,1,1,1,1,1,1,Boa Viagem
67427,900.0,0.0,102.0,0,1,0,1,0,0,1,0,1,3,1,4,0,Torre
5866,0.0,0.0,45.0,0,1,0,0,0,0,0,0,1,1,1,2,1,Boa Viagem
16712,1.0,1.0,63.0,1,1,1,1,0,1,1,1,0,2,1,3,1,Madalena
